ax,ay,az
0.11,-1.0,0.21
0.11,-1.0,0.2
0.11,-0.99,0.18
0.1,-0.98,0.18
0.1,-0.99,0.2
0.1,-0.99,0.2
0.1,-1.02,0.18
0.1,-1.03,0.18
0.08,-1.05,0.18
0.07,-1.04,0.18
0.06,-1.0,0.18
0.05,-0.98,0.2
0.03,-0.98,0.21
0.03,-0.98,0.2
0.38,-0.91,0.4
0.36,-0.9,0.38
0.34,-0.9,0.36
0.34,-0.87,0.32
0.33,-0.86,0.29
0.33,-0.83,0.25
0.33,-0.83,0.23
0.33,-0.82,0.23
0.33,-0.8,0.24
0.31,-0.8,0.25
0.32,-0.81,0.27
0.34,-0.85,0.28
0.34,-0.85,0.28
0.33,-0.86,0.29
0.33,-0.87,0.29
0.32,-0.88,0.28
0.32,-0.88,0.27
0.33,-0.88,0.28
0.33,-0.89,0.27
0.34,-0.89,0.29
0.34,-0.89,0.29
0.33,-0.89,0.27
0.32,-0.88,0.26
0.3,-0.86,0.24
0.31,-0.86,0.24
0.33,-0.87,0.27
0.33,-0.88,0.27
0.34,-0.88,0.27
0.36,-0.89,0.27
0.36,-0.89,0.26
0.33,-0.86,0.24
0.32,-0.85,0.24
0.33,-0.83,0.25
0.32,-0.82,0.24
0.31,-0.8,0.22
0.31,-0.79,0.2
0.32,-0.74,0.13
0.35,-0.69,0.06
0.44,-0.6,-0.3
0.42,-0.58,-0.63
0.21,-0.33,-1.53
0.11,-0.12,-1.95
0.11,0.23,-2.05
0.26,0.27,-1.88
0.58,0.27,-1.19
0.69,0.2,-0.73
0.94,-0.18,0.33
1.12,-0.77,0.85
1.17,-1.44,2.19
0.03,-0.97,0.09
0.03,-0.95,0.1
0.01,-0.92,0.13
0.0,-0.9,0.14
-0.0,-0.92,0.12
-0.0,-0.93,0.12
0.0,-0.94,0.11
0.0,-0.94,0.11
-0.01,-0.94,0.12
-0.01,-0.93,0.13
-0.0,-0.91,0.16
0.0,-0.9,0.18
0.01,-0.9,0.22
0.02,-0.9,0.24
0.04,-0.88,0.28
0.04,-0.88,0.29
0.04,-0.85,0.3
0.04,-0.85,0.31
-0.0,-0.84,0.31
-0.03,-0.84,0.3
-0.08,-0.86,0.31
-0.12,-0.87,0.32
-0.14,-0.85,0.2
-0.14,-0.84,0.06
-0.27,-0.83,-0.47
-0.36,-0.85,-1.01
-0.51,-0.78,-3.27
-0.44,-0.64,-4.0
-0.15,-0.33,-4.0
0.6,-0.03,-3.52
0.98,-0.33,-2.16
1.86,-1.01,0.58
2.19,-0.99,1.77
2.41,-1.0,3.59
2.23,-1.15,4.0
1.71,-1.19,3.68
1.47,-1.23,3.08
