ax,ay,az
0.08,-1.02,0.25
0.07,-0.99,0.25
0.08,-1.0,0.25
0.1,-1.06,0.25
0.1,-1.08,0.25
0.09,-1.06,0.23
0.09,-1.05,0.23
0.08,-1.02,0.22
0.08,-1.01,0.2
0.07,-1.03,0.18
0.08,-1.05,0.17
0.08,-1.07,0.14
0.08,-1.07,0.13
0.07,-1.05,0.12
0.07,-1.03,0.13
0.07,-0.98,0.14
0.07,-0.94,0.15
0.08,-0.88,0.17
0.08,-0.85,0.18
0.08,-0.81,0.18
0.09,-0.83,0.18
0.11,-0.88,0.17
0.12,-0.92,0.16
0.14,-1.0,0.14
0.15,-1.04,0.13
0.16,-1.11,0.12
0.16,-1.12,0.12
0.01,-0.96,0.15
0.0,-0.94,0.13
-0.0,-0.92,0.12
0.0,-0.89,0.11
0.01,-0.9,0.11
0.02,-0.91,0.1
0.03,-0.92,0.11
0.03,-0.94,0.1
0.03,-0.95,0.1
0.03,-0.95,0.1
0.03,-0.94,0.11
0.05,-0.97,0.13
0.05,-0.99,0.15
0.06,-1.0,0.17
0.06,-0.99,0.16
0.04,-0.99,0.13
0.04,-1.0,0.12
0.05,-1.0,0.1
0.07,-1.0,0.11
0.1,-1.0,0.13
0.11,-1.0,0.13
0.12,-1.01,0.12
0.13,-1.02,0.1
0.13,-1.03,0.09
0.15,-1.06,0.08
0.15,-1.07,0.08
0.15,-1.09,0.07
0.15,-1.09,0.06
0.14,-1.08,0.07
0.13,-1.05,0.07
0.12,-1.0,0.08
0.12,-0.98,0.09
0.14,-0.98,0.09
0.15,-1.0,0.1
0.15,-1.03,0.1
0.16,-1.06,0.1
0.15,-1.08,0.11
0.14,-1.07,0.11
0.14,-1.05,0.13
0.14,-1.04,0.13
0.14,-1.04,0.12
0.14,-1.05,0.12
0.12,-1.05,0.13
0.12,-1.04,0.13
0.11,-1.02,0.13
0.11,-1.0,0.13
0.11,-0.97,0.13
0.11,-0.97,0.13
0.13,-1.01,0.14
0.15,-1.08,0.14
0.26,-1.47,0.14
0.36,-1.92,0.14
0.57,-3.38,0.2
0.61,-3.9,0.23
0.48,-4.0,0.08
0.19,-2.96,-0.06
0.15,-2.21,-0.09
0.17,-0.63,0.06
0.19,0.1,0.15
0.1,1.14,0.04
0.09,1.41,-0.1
-0.04,1.35,-0.09
-0.12,1.1,-0.02
-0.2,0.53,0.05
-0.17,0.2,0.13
-0.07,-0.47,0.31
-0.04,-0.77,0.38
-0.08,-1.19,0.4
-0.11,-1.31,0.34
-0.12,-1.43,0.16
-0.12,-1.44,0.06
-0.13,-1.35,-0.08
-0.14,-1.26,-0.12
