ax,ay,az
-0.01,-0.96,0.12
-0.02,-0.98,0.12
-0.0,-1.03,0.14
0.01,-1.09,0.16
0.04,-1.25,0.18
0.06,-1.37,0.22
0.15,-1.63,0.38
0.17,-1.71,0.49
0.12,-1.62,0.53
0.05,-1.45,0.43
-0.06,-1.03,0.19
-0.1,-0.81,0.07
-0.17,-0.4,-0.14
-0.2,-0.21,-0.25
-0.27,0.03,-0.4
-0.29,0.06,-0.43
-0.27,0.03,-0.36
-0.17,-0.23,-0.29
-0.11,-0.46,-0.18
0.04,-0.99,0.17
0.1,-1.2,0.34
0.1,-1.48,0.54
0.07,-1.54,0.56
-0.03,-1.5,0.46
-0.07,-1.41,0.38
-0.13,-1.19,0.21
-0.16,-1.09,0.14
-0.16,-0.95,0.05
-0.16,-0.91,0.03
-0.13,-0.89,0.02
-0.11,-0.9,0.04
-0.08,-0.93,0.07
-0.07,-0.94,0.1
-0.05,-0.96,0.15
-0.05,-0.97,0.16
-0.04,-1.01,0.19
-0.04,-1.02,0.2
-0.04,-1.01,0.19
-0.05,-1.0,0.17
-0.06,-0.97,0.14
-0.06,-0.98,0.12
-0.05,-0.96,0.11
-0.04,-0.96,0.1
-0.04,-0.97,0.1
-0.04,-0.97,0.11
-0.03,-0.99,0.14
-0.02,-1.01,0.15
-0.02,-1.02,0.15
-0.03,-1.01,0.13
-0.04,-1.0,0.13
-0.04,-0.98,0.12
-0.04,-0.97,0.12
0.25,-0.97,0.12
0.25,-0.94,0.15
0.24,-0.94,0.16
0.22,-0.94,0.18
0.21,-0.94,0.19
0.2,-0.91,0.2
0.19,-0.89,0.19
0.17,-0.88,0.17
0.17,-0.88,0.17
0.17,-0.9,0.17
0.17,-0.91,0.19
0.18,-0.91,0.25
0.18,-0.9,0.28
0.19,-0.88,0.36
0.19,-0.87,0.38
0.17,-0.81,0.41
0.16,-0.8,0.41
0.17,-0.79,0.4
0.18,-0.81,0.39
0.19,-0.84,0.33
0.18,-0.84,0.3
0.17,-0.87,0.19
0.15,-0.9,0.13
0.12,-0.97,0.05
0.12,-0.98,0.03
0.13,-1.16,0.03
0.25,-1.38,0.06
0.42,-1.7,0.12
0.8,-2.7,0.55
1.08,-3.43,0.99
1.45,-4.0,1.84
1.42,-4.0,1.83
0.99,-1.79,1.0
0.6,-0.51,0.24
-0.48,1.41,-1.14
-0.77,1.89,-1.5
-0.57,2.0,-1.43
-0.42,1.84,-1.26
-0.32,1.23,-1.0
-0.3,0.92,-0.86
-0.08,0.23,-0.55
0.07,-0.23,-0.35
0.29,-1.19,0.27
0.35,-1.55,0.51
0.24,-1.92,0.72
0.16,-1.94,0.66
-0.01,-1.72,0.44
-0.09,-1.58,0.36
