ax,ay,az
0.29,0.31,1.07
0.3,0.37,1.12
0.32,0.35,1.14
0.26,0.01,1.12
0.26,-0.59,1.11
0.24,-3.78,1.44
0.45,-4.0,1.89
1.0,-4.0,2.1
1.24,-4.0,1.2
2.0,-4.0,-0.48
3.98,-2.64,-1.01
4.0,-0.36,-0.21
4.0,4.0,-0.34
4.0,4.0,-0.33
3.03,4.0,1.47
2.03,4.0,2.22
0.76,4.0,2.25
0.72,2.48,1.46
0.79,-2.85,0.54
0.74,-4.0,0.58
0.38,-3.96,0.54
0.16,-2.87,0.44
-0.07,-0.2,0.32
-0.15,0.79,0.31
-0.01,1.57,0.56
0.12,1.46,0.84
0.4,0.75,1.24
0.42,0.32,1.24
0.41,-0.44,1.33
0.33,-0.77,1.23
0.13,-1.03,0.97
0.05,-1.02,0.88
-0.02,-0.82,0.69
-0.02,-0.64,0.64
-0.14,-0.92,0.03
-0.14,-0.93,0.04
-0.13,-0.99,0.06
-0.11,-1.02,0.07
-0.1,-1.05,0.08
-0.1,-1.08,0.08
-0.1,-1.09,0.09
-0.1,-1.08,0.09
-0.1,-1.06,0.09
-0.11,-1.04,0.08
-0.12,-1.02,0.07
-0.12,-0.99,0.05
-0.13,-0.97,0.04
-0.12,-0.96,0.03
-0.12,-0.95,0.03
-0.1,-0.96,0.04
-0.1,-0.97,0.04
-0.1,-0.96,0.06
-0.1,-0.96,0.06
-0.11,-0.95,0.06
-0.11,-0.95,0.07
-0.1,-0.97,0.07
-0.1,-0.99,0.07
-0.08,-1.02,0.09
-0.08,-1.04,0.09
-0.07,-1.04,0.09
-0.08,-1.04,0.08
-0.09,-1.01,0.07
-0.1,-1.0,0.07
-0.11,-0.97,0.06
-0.11,-0.95,0.05
-0.12,-0.94,0.04
-0.11,-0.96,0.03
-0.11,-1.05,0.03
-0.09,-1.11,0.05
-0.09,-1.17,0.09
-0.04,-1.49,0.11
0.01,-1.77,0.15
0.2,-2.39,0.29
0.26,-2.7,0.46
0.3,-3.15,0.97
0.42,-3.28,1.14
0.66,-2.55,1.18
0.61,-1.7,0.88
0.24,0.21,-0.07
-0.04,1.02,-0.53
-0.71,1.98,-1.15
-0.85,2.22,-1.31
-0.61,2.09,-1.24
-0.49,1.8,-1.12
-0.27,0.92,-0.7
-0.17,0.39,-0.46
0.1,-0.75,-0.03
0.19,-1.24,0.13
0.16,-1.85,0.44
0.09,-1.99,0.54
0.03,-1.99,0.67
-0.04,-1.93,0.67
-0.24,-1.71,0.48
-0.28,-1.55,0.38
-0.34,-1.37,0.21
-0.34,-1.26,0.16
-0.33,-1.11,0.05
-0.34,-1.05,0.02
-0.31,-0.94,0.0
-0.29,-0.89,-0.01
